,SolN,Fragments,Excess,ObjValNoPen,ObjValWithPen,Assignments
904,905,"['frag_14_c00001', 'frag_11_c00001', 'frag_06_c00001']","[[6, 8], [6, 7, 8], []]",9.203351196213212,14.203351196213212,"[[(1, 1), (2, 2), (3, 3), (4, 4)], [(3, 5), (4, 6)], [(2, 7), (3, 8), (1, 9)]]"
905,906,"['frag_11_c00001', 'frag_14_c00001', 'frag_06_c00001']","[[6, 7, 8], [6, 8], []]",9.203351196213212,14.203351196213212,"[[(3, 5), (4, 6)], [(1, 1), (2, 2), (3, 3), (4, 4)], [(2, 7), (3, 8), (1, 9)]]"
906,907,"['frag_14_c00001', 'frag_11_c00001', 'frag_06_c00001']","[[6, 8], [6, 7, 8], []]",9.203351196213212,14.203351196213212,"[[(1, 1), (2, 2), (3, 3), (4, 4)], [(3, 5), (4, 6)], [(2, 7), (3, 8), (1, 9)]]"
907,908,"['frag_06_c00001', 'frag_14_c00001', 'frag_11_c00001']","[[], [6, 8], [6, 7, 8]]",9.203351196213212,14.203351196213212,"[[(2, 7), (3, 8), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 4)], [(3, 5), (4, 6)]]"
908,909,"['frag_06_c00001', 'frag_14_c00001', 'frag_11_c00001']","[[], [6, 8], [6, 7, 8]]",9.203351196213216,14.203351196213216,"[[(2, 7), (3, 8), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 4)], [(3, 5), (4, 6)]]"
909,910,"['frag_06_c00001', 'frag_14_c00001', 'frag_11_c00001']","[[], [6, 8], [6, 7, 8]]",9.203351196213216,14.203351196213216,"[[(2, 7), (3, 8), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 4)], [(3, 5), (4, 6)]]"
910,911,"['frag_06_c00001', 'frag_14_c00001', 'frag_11_c00001']","[[], [6, 8], [6, 7, 8]]",9.203351196213216,14.203351196213216,"[[(2, 7), (3, 8), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 4)], [(3, 5), (4, 6)]]"
911,912,"['frag_11_c00001', 'frag_14_c00001', 'frag_06_c00001']","[[6, 7, 8], [6, 8], []]",9.203351196213216,14.203351196213216,"[[(3, 5), (4, 6)], [(1, 1), (2, 2), (3, 3), (4, 4)], [(2, 7), (3, 8), (1, 9)]]"
912,913,"['frag_04_c00001', 'frag_16_c00001', 'frag_11_c00001']","[[], [6, 8], [6, 7, 8]]",9.211068405042571,14.211068405042571,"[[(1, 1), (2, 2)], [(7, 3), (2, 4), (5, 7), (6, 8), (1, 9)], [(3, 5), (4, 6)]]"
913,914,"['frag_11_c00001', 'frag_04_c00001', 'frag_16_c00001']","[[6, 7, 8], [], [6, 8]]",9.211068405042571,14.211068405042571,"[[(3, 5), (4, 6)], [(1, 1), (2, 2)], [(7, 3), (2, 4), (5, 7), (6, 8), (1, 9)]]"
