,Fragments,ObjValNoPen,ObjValWithPen
576,"['frag_04_c00001', 'frag_06_c00001', 'frag_07_c00001']",52606.67810634782,52577.699651374576
577,"['frag_04_c00001', 'frag_06_c00001', 'frag_07_c00001']",52606.67810634782,52606.67810634782
578,"['frag_04_c00001', 'frag_06_c00001', 'frag_07_c00001']",52606.678106347834,52606.67810634782
579,"['frag_04_c00001', 'frag_06_c00001', 'frag_07_c00001']",52606.678106347834,52606.678106347834
580,"['frag_04_c00001', 'frag_06_c00001', 'frag_07_c00001']",52606.678106347834,52606.678106347834
581,"['frag_04_c00001', 'frag_06_c00001', 'frag_07_c00001']",52606.678106347834,52606.678106347834
582,"['frag_04_c00001', 'frag_06_c00001', 'frag_07_c00001']",52606.678106347834,52606.678106347834
583,"['frag_04_c00001', 'frag_06_c00001', 'frag_07_c00001']",52606.678106347834,52606.678106347834
584,"['frag_01_c00001', 'frag_02_c00001', 'frag_02_c00001', 'frag_09_c00001']",52776.607243260245,52606.678106347834
585,"['frag_01_c00001', 'frag_02_c00001', 'frag_02_c00001', 'frag_09_c00001']",52776.607243260245,52776.607243260245
586,"['frag_01_c00001', 'frag_02_c00001', 'frag_02_c00001', 'frag_09_c00001']",52776.60724326026,52776.607243260245
587,"['frag_01_c00001', 'frag_02_c00001', 'frag_02_c00001', 'frag_09_c00001']",52776.60724326026,52776.60724326026
588,"['frag_03_c00001', 'frag_06_c00001', 'frag_09_c00001']",52819.97111342579,52776.60724326026
589,"['frag_03_c00001', 'frag_06_c00001', 'frag_09_c00001']",52819.97111342579,52819.97111342579
590,"['frag_03_c00001', 'frag_06_c00001', 'frag_09_c00001']",52819.97111342579,52819.97111342579
591,"['frag_03_c00001', 'frag_06_c00001', 'frag_09_c00001']",52819.97111342579,52819.97111342579
592,"['frag_03_c00001', 'frag_06_c00001', 'frag_09_c00001']",52819.97111342579,52819.97111342579
593,"['frag_03_c00001', 'frag_06_c00001', 'frag_09_c00001']",52819.97111342579,52819.97111342579
594,"['frag_03_c00001', 'frag_06_c00001', 'frag_09_c00001']",52819.97111342579,52819.97111342579
595,"['frag_03_c00001', 'frag_06_c00001', 'frag_09_c00001']",52819.97111342579,52819.97111342579
596,"['frag_01_c00001', 'frag_05_c00001', 'frag_13_c00001']",63162.57699832615,52819.97111342579
